OBJECTID_1,FID_teocin,OBJECTID,FID_Maices,Id,IdEjemplar,Raza_prima,Complejo_r,Anhio_Cole,Periodo_Co,Estado,Municipio,Localidad,Altitud,longitude,latitude,NOMBRE,FID_region,PROVBIOB,id_pbiob,id_pbiobr
20,19,20,969,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,VILLAFLORES,"Km 35.9 carretera Arriaga-Villaflores (Champerico), se encuentra del km 35.9 hasta el km 45, a una distancia de 60 km de Arriaga a Domingo Chanona",915,-93.62613889,16.38322222,CORDILLERA CENTROAMERICANA,12,Sierras cañadas y llanuras de Chiapas,11,XI
21,20,21,967,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,CINTALAPA,"Carretera 190 Tuxtla Gutiérrez-Arriaga (Estación de Microondas, Las Minas), al SO del camino a terracería rumbo a la Estación de Microondas",752,-94,16.41666667,CORDILLERA CENTROAMERICANA,12,Sierras cañadas y llanuras de Chiapas,11,XI
22,21,22,888,0,0,Tripsacum dactyloides dactyloides,Tripsacum,0,0,OAXACA,SAN JUAN LAJARCIA,San Juan Lajarcia,920,-95.91363889,16.51852778,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
23,22,23,968,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,CINTALAPA,Km 11.1 carretera 190 Tuxtla-Arriaga (4 km antes de la colecta 25) a 500 m del poblado Niños Héroes,735,-94,16.43333333,CORDILLERA CENTROAMERICANA,12,Sierras cañadas y llanuras de Chiapas,11,XI
24,23,24,981,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,VILLA DE SOLA DE VEGA,"1.7 km después de La Colorada, al SE de La Colorada",1858,-96.94552778,16.57,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
25,24,25,982,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,VILLA DE SOLA DE VEGA,"La Colorada, 3.3 km al S de la Colorada",1844,-96.95347222,16.57169444,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
26,25,26,980,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,VILLA DE SOLA DE VEGA,"La Colorada, 10 km al S de El Vado",1868,-96.93211111,16.57530556,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
27,26,27,979,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,VILLA DE SOLA DE VEGA,"La Colorada, 8 km al S de El Vado, 3 km antes de La Colorada",1777,-96.91841667,16.57511111,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
28,27,28,991,0,0,Tripsacum sp,Tripsacum,0,0,OAXACA,EL CAMARÓN,15.1 km al NE de El Camarón,1214,-95.93433333,16.54041667,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
29,28,29,838,0,0,Tripsacum intermedium,Tripsacum,0,0,OAXACA,SAN FRANCISCO SOLA,San Francisco Sola,1840,-96.93333333,16.58333333,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
30,29,30,871,0,0,Tripsacum intermedium,Tripsacum,0,0,OAXACA,SAN FRANCISCO SOLA,San Francisco Sola,1840,-96.93333333,16.58333333,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
31,30,31,774,0,0,Tripsacum dactyloides hispidum,Tripsacum,0,0,CHIAPAS,CINTALAPA,Las Minas,775,-94.05,16.46666667,CORDILLERA CENTROAMERICANA,12,Sierras cañadas y llanuras de Chiapas,11,XI
32,31,32,911,0,0,Tripsacum sp,Tripsacum,0,0,GUERRERO,OMETEPEC,Huixtepec-Ladrillera,420,-98.30269444,16.64202778,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
33,32,33,606,0,0,Tripsacum jalapense,Tripsacum,0,0,CHIAPAS,ND,Chiapa de Corzo-Km 28 de Tuxtla,800,-93,16.43333333,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
34,33,34,607,0,0,Tripsacum dactyloides hispidum,Tripsacum,0,0,CHIAPAS,ND,Ixtapa-Km 39.7 de Tuxtla,1200,-93.06666667,16.45,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
35,34,35,609,0,0,Tripsacum intermedium,Tripsacum,0,0,CHIAPAS,ND,Ixtapa-Km 42.2 de Tuxtla,1250,-93.06666667,16.45,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
36,35,36,610,0,0,Tripsacum dactyloides hispidum,Tripsacum,0,0,CHIAPAS,ND,Ixtapa-Km 42.2 de Tuxtla,1350,-93.06666667,16.45,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
37,36,37,912,0,0,Tripsacum sp,Tripsacum,0,0,GUERRERO,OMETEPEC,Zacualpan-Xochistlahuaca,372,-98.2725,16.77166667,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
38,37,38,970,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIÉRREZ,"Km 10.2, carretera Tuxtla-Suchiapa (junto al estacionamiento Vista de Suchiapa, pasado El Jobo)",788,-93.08513889,16.67030556,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
39,38,39,913,0,0,Tripsacum sp,Tripsacum,0,0,GUERRERO,SAN LUIS ACATLAN,Tlapa-San Luis Acatlán,439,-98.76002778,16.90758333,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
40,39,40,971,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,ZINACATLAN,"Potoptik, km 23.7 autopista Tuxtla-San Cristóbal",1386,-92.83333333,16.68333333,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
41,40,41,928,0,0,Tripsacum pilosum,Tripsacum,0,0,GUERRERO,SAN LUIS ACATLAN,Potrillo del Rincón-San Luis Acatlán,746,-98.73269444,16.93875,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
42,41,42,972,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,ZINACATLAN,"Potoptik, km 22.7 autopista Tuxtla-San Cristóbal",1359,-92.83638889,16.69416667,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
43,42,43,973,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,ZINACATLAN,Km 21.6 carretera 190 Tuxtla-San Cristóbal,1290,-92.86055556,16.69824167,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
44,43,44,974,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,CHIAPA DE CORZO,Km 18.9 autopista Tuxtla-San Cristóbal,1183,-92.87527778,16.70306667,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
45,44,45,975,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,CHIAPA DE CORZO,Km 18 autopista Tuxtla-San Cristóbal,1128,-92.88083333,16.70668056,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
46,45,46,878,0,0,Tripsacum pilosum,Tripsacum,0,0,CHIAPAS,IXTAPA,Ixtapa,1024,-92.90480556,16.709,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
47,46,47,976,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,IXTAPA,Km 12 carretera Tuxtla Gutiérrez-Ixtapa,837,-92.92083333,16.72037222,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
48,47,48,952,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,SAN CRISTÓBAL DE LAS CASAS,Km 28 carretera 190 Tuxtla Gutiérrez-San Cristóbal,998,-92.95,16.73333333,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
49,48,49,956,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,NA,Km 40 carretera 190 Tuxtla Gutiérrez-San Cristóbal,1281,-92.90880556,16.74388889,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
50,49,50,951,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,SAN CRISTÓBAL DE LAS CASAS,Km 28 carretera 190 Tuxtla Gutiérrez-San Cristóbal,998,-92.95055556,16.74833333,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
51,50,51,978,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,NA,Km 28 carretera Tuxtla Gutiérrez-San Cristóbal (lado N),1016,-92.95502778,16.74893889,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
52,51,52,851,0,0,Tripsacum jalapense,Tripsacum,0,0,CHIAPAS,CHIAPA DE CORZO,Chiapa de Corzo,800,-92.96666667,16.75,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
53,52,53,953,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,SAN CRISTÓBAL DE LAS CASAS,Km 36-37 carretera Tuxtla Gutiérrez-San Cristóbal,1167,-92.91666667,16.75,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
54,53,54,794,0,0,Tripsacum dactyloides hispidum,Tripsacum,0,0,CHIAPAS,IXTAPA,Ixtapa,1200,-92.9,16.75,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
55,54,55,883,0,0,Tripsacum dactyloides dactyloides,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIERREZ,Tuxtla Gutierrez,835,-93.08697222,16.79327778,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
56,55,56,960,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIÉRREZ,Km 9.3 carretera Tuxtla al mirador Cañón del Sumidero,998,-93.08333333,16.8,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
57,56,57,961,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIÉRREZ,Km 9.3 carretera Tuxtla al mirador Cañón del Sumidero,998,-93.08333333,16.8,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
58,57,58,957,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIÉRREZ,Km 14.9 carretera Tuxtla al mirador Cañón del Sumidero,1208,-93.06666667,16.8,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
59,58,59,958,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIÉRREZ,Km 14.9 carretera Tuxtla al mirador Cañón del Sumidero,1208,-93.06666667,16.8,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
60,59,60,959,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIÉRREZ,Km 14.9 carretera Tuxtla al mirador Cañón del Sumidero,1028,-93.06666667,16.8,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
61,60,61,887,0,0,Tripsacum intermedium,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIERREZ,Tuxtla Gutierrez,1204,-93.08016667,16.81058333,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
62,61,62,927,0,0,Tripsacum pilosum,Tripsacum,0,0,GUERRERO,MALINALTEPEC,"Tierra Colorada-El Rincón, carretera Tlapa-San Luis Acatlán",994,-98.75175,17.04405556,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
63,62,63,771,0,0,Tripsacum jalapense,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIERREZ,La Coyota,1150,-93.13333333,16.81666667,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
64,63,64,820,0,0,Tripsacum jalapense,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIERREZ,La Coyota,1150,-93.13333333,16.81666667,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
65,64,65,885,0,0,Tripsacum intermedium,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIERREZ,Tuxtla Gutierrez,1270,-93.08269444,16.82875,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
66,65,66,886,0,0,Tripsacum dactyloides hispidum,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIERREZ,Tuxtla Gutierrez,0,-93.08269444,16.82875,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
67,66,67,821,0,0,Tripsacum manisuroides,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIERREZ,Los Chiapas,1200,-93.13333333,16.83333333,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
68,67,68,848,0,0,Tripsacum manisuroides,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIERREZ,Los Chiapas,1200,-93.13333333,16.83333333,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
69,68,69,884,0,0,Tripsacum dactyloides hispidum,Tripsacum,0,0,CHIAPAS,TUXTLA GUTIERREZ,Tuxtla Gutierrez,1335,-93.07475,16.83297222,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
70,69,70,910,0,0,Tripsacum sp,Tripsacum,0,0,GUERRERO,COYUCA DE BENITEZ,Encino Prieto-Pueblo Viejo,369,-100.0214722,17.09536111,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
71,70,71,962,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,HUIXTÁN,Km 62.5 carretera Tuxtla-Ocosingo (poblado El Progreso),1300,-92.13333333,16.8,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
72,71,72,963,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,SAN CRISTÓBAL DE LAS CASAS,Km 58 carretera 186 Tuxtla-Ocosingo (poblado El Progreso),1239,-92.11666667,16.81666667,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
73,72,73,977,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,IXTAPA,"Km 244 carretera Villahermosa-Tuxtla Gutiérrez, a 2 km de Ixtapa",1008,-91.91441667,16.80763611,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
74,73,74,1022,0,0,Tripsacum sp,Tripsacum,0,0,GUERRERO,APAXTLA,Entrada a Apaxtla 1.0 km antes,1187,-99.93794444,17.14102778,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
75,74,75,383,0,0,Balsas,Zea mays subsp. Mexicana,0,0,GUERRERO,JUAN R. ESCUDERO,Tierra Colorada,344,-99.54222222,17.17166667,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
76,75,76,826,0,0,Tripsacum pilosum,Tripsacum,0,0,OAXACA,PUTLA VILLA DE GUERRERO,Chicahuaxtla,2000,-97.81666667,17.15,SIERRA MADRE DEL SUR,10,Sierras y valles de Oaxaca y Tehuantepec,10,X
77,76,77,1011,0,0,Tripsacum sp,Tripsacum,0,0,GUERRERO,TIERRA COLORADA,"Tierra Colorada, km 59 después de Tierra Colorada",470,-99.51119444,17.19283333,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
78,77,78,539,0,0,Balsas,Zea mays subsp. Mexicana,0,0,GUERRERO,JUAN R. ESCUDERO,Km 60 Tierra Colorada-Chilpancingo,400,-99.50833333,17.19777778,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
79,78,79,1012,0,0,Tripsacum sp,Tripsacum,0,0,GUERRERO,TIERRA COLORADA,"La Hacienda, km 57, como 10 m antes de la desviación a La Haciendita, está en el km 54, ± 9 km después de Tierra Colorada.",503,-99.50772222,17.19830556,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
80,79,80,616,0,0,Tripsacum dactyloides hispidum,Tripsacum,0,0,CHIAPAS,ND,Ocosingo-16.2 Km suroeste de Ocosingo,1200,-92.08333333,16.9,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
81,80,81,540,0,0,Balsas,Zea mays subsp. Mexicana,0,0,GUERRERO,CHILPANCINGO DE LOS BRAVO,Buena Vista de la Salud,715,-99.5,17.25972222,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
82,81,82,964,0,0,Tripsacum sp,Tripsacum,0,0,CHIAPAS,OCOSINGO,Km 135 carretera Tuxtla-Ocosingo (a 5 min de Ocosingo),1173,-92.1,16.96666667,SIERRAS DE CHIAPAS Y GUATEMALA,12,Sierras cañadas y llanuras de Chiapas,11,XI
83,82,83,214,0,0,Balsas,Zea mays subsp. Mexicana,0,0,GUERRERO,MOCHITLAN,El Rincón,820,-99.5,17.28333333,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
84,83,84,813,0,0,Tripsacum maizar,Tripsacum,0,0,GUERRERO,MOCHITLAN,El Rincón,950,-99.5,17.28333333,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
85,84,85,815,0,0,Tripsacum maizar,Tripsacum,0,0,GUERRERO,MOCHITLAN,El Rincón,950,-99.5,17.28333333,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
86,85,86,384,0,0,Balsas,Zea mays subsp. Mexicana,0,0,GUERRERO,CHILPANCINGO DE LOS BRAVO,El Rincón (Rincón de la Vía),740,-99.48305556,17.28694444,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
87,86,87,1013,0,0,Tripsacum sp,Tripsacum,0,0,GUERRERO,CHILPANCINGO/TIERRA COLORADA,"El Rincón unos 50 m hacia Chilpancingo, a 21 km de Tierra Colorada-Chilpancingo",763,-99.47855556,17.29627778,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
88,87,88,1014,0,0,Tripsacum sp,Tripsacum,0,0,GUERRERO,HUITZUCO DE LOS FIGUEROA/CHILPANCINGO,"Paso Morelos, de 23 a 24 km de Tierra Colorada a Chilpancingo muy cerca de la entrada a Agua de Obispo",980,-99.47855556,17.29627778,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
89,88,89,1015,0,0,Tripsacum sp,Tripsacum,0,0,GUERRERO,CHILPANCINGO,"Acahuizotla, 1 km antes de la desviación a Acahuizotla",944,-99.46677778,17.32541667,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
90,89,90,783,0,0,Tripsacum intermedium,Tripsacum,0,0,GUERRERO,MOCHITLAN,Agua de Obispo,1000,-99.5,17.33333333,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
91,90,91,839,0,0,Tripsacum intermedium,Tripsacum,0,0,GUERRERO,MOCHITLAN,Agua de Obispo,1000,-99.5,17.33333333,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
92,91,92,866,0,0,Tripsacum intermedium,Tripsacum,0,0,GUERRERO,MOCHITLAN,Agua de Obispo,1000,-99.5,17.33333333,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
93,92,93,57,0,0,Balsas,Zea mays subsp. Mexicana,0,0,GUERRERO,MOCHITLAN,Acahuizotla,1100,-99.48333333,17.35,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
94,93,94,782,0,0,Tripsacum intermedium,Tripsacum,0,0,GUERRERO,MOCHITLAN,Acahuizotla,970,-99.48333333,17.35,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
95,94,95,812,0,0,Tripsacum maizar,Tripsacum,0,0,GUERRERO,MOCHITLAN,Acahuizotla,1000,-99.48333333,17.35,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
96,95,96,834,0,0,Tripsacum dactyloides mexicanum,Tripsacum,0,0,GUERRERO,MOCHITLAN,Acahuizotla,850,-99.48333333,17.35,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
97,96,97,843,0,0,Tripsacum dactyloides mexicanum,Tripsacum,0,0,GUERRERO,MOCHITLAN,Acahuizotla,850,-99.48333333,17.35,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
98,97,98,853,0,0,Tripsacum intermedium,Tripsacum,0,0,GUERRERO,MOCHITLAN,Acahuizotla,950,-99.48333333,17.35,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
99,98,99,854,0,0,Tripsacum intermedium,Tripsacum,0,0,GUERRERO,MOCHITLAN,Acahuizotla,970,-99.48333333,17.35,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
100,99,100,877,0,0,Tripsacum dactyloides mexicanum,Tripsacum,0,0,GUERRERO,MOCHITLAN,Acahuizotla,850,-99.48333333,17.35,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
101,100,101,918,0,0,Tripsacum pilosum,Tripsacum,0,0,GUERRERO,TECPAN DE GALEANA,Arroyo de la Ordeña-Ejido Moreno,219,-100.5850833,17.37763889,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
102,101,102,385,0,0,Balsas,Zea mays subsp. Mexicana,0,0,GUERRERO,CHILPANCINGO DE LOS BRAVO,Brecha Acahuizotla-Palo Blanco (ca. Posada de la Paz),932,-99.45722222,17.37555556,SIERRA MADRE DEL SUR,7,Sierra Madre del Sur,9,IX
